name,weight
apply fashion trends to footwear and leather goods,121
cartography,121
write inspection reports,121
pollution prevention,121
perform data analysis,121
monitor the use of kitchen equipment,120
topography,120
accounting,120
spelling,120
analyse business objectives,119
interpret 2D plans,119
analyse samples of food and beverages,119
graphic design,119
provide ICT consulting advice,119
health care legislation,119
work with respect for own safety,118
check deliveries on receipt,118
develop curriculum,118
health and safety regulations,118
analyse business plans,118
relationship between buildings,118
footwear manufacturing technology,118
keep up with trends in eating out,118
debug software,117
identify new business opportunities,117
marketing mix,117
manage medium term objectives,116
manage administrative systems,116
perform playground surveillance,116
footwear quality,116
microbiology-bacteriology,116
follow verbal instructions,116
maintain professional administration,115
safety and hygiene legislation,115
carry out tendering,115
manage inventory,115
actuarial science,114
create data models,114
multimedia systems,114
create import-export commercial documentation,113
coordinate marketing plan actions,113
pricing strategies,113
production processes,113
furniture trends,113
ICT debugging tools,113
show entrepreneurial spirit,113
monitor manufacturing quality standards,113
interact with users to gather requirements,113
building materials industry,113
solve ICT system problems,112
manage feedback,112
maintain work area cleanliness,112
rhetoric,112
common aviation safety regulations,112
health,112
implement customer follow-up,111
fasten components,111
communicate with youth,111
review investment portfolios,111
"""monitor parameters compliance in construction projects""",111
define organisational standards,111
legislation procedure,111
adapt to type of media,111
seek innovation in current practices,111
conduct scholarly research,110
object-oriented modelling,110
court procedures,110
identify potential markets for companies,110
conduct performance tests,110
disability types,110
document interviews,109
adapt to changing situations,109
process data,109
calibrate laboratory equipment,109
carry out statistical forecasts,109
define measurable marketing objectives,109
electrical power safety regulations,109
communicate commercial and technical issues in foreign languages,108
assist social service users with physical disabilities,108
advise on communication strategies,108
trace financial transactions,108
ferrous metal processing,108
apparel manufacturing technology,108
inspect government policy compliance,108
comply with legislation in social services,107
"""older adults needs""",107
operate soldering equipment,107
biological chemistry,107
forecast future levels of business,107
types of wood,107
ICT network security risks,107
property law,106
compare property values,106
apply import strategies,106
apply export strategies,106
give instructions to staff,106
use office systems,106
participate in governmental tenders,106
communicate with construction crews,106
develop a specific interior design,106
musical instruments,106
develop food policy,106
evaluate marketing content,105
musical genres,105
consult students on learning content,105
product data management,105
align components,105
electrical wiring plans,104
consumer law,104
evaluate performance of organisational collaborators,104
landscape architecture,104
create technical plans,104
synthesise financial information,104
human physiology,104
refer healthcare users,104
manage inspections of equipment,103
consult with production director,103
assess food samples,103
art history,103
advise customers on building materials,103
assist disabled individuals to participate in community activities,102
use customer relationship management software,102
hydraulics,102
show confidence,102
employ foreign languages in care,102
types of metal manufacturing processes,102
freight transport methods,101
air transport law,101
pedagogy,101
food policy,101
public housing legislation,101
quality and cycle time optimisation,101
provide career counselling,101
financial department processes,101
fraud detection,101
control financial resources,101
cooperate at inter-professional level,101
develop documentation in accordance with legal requirements,101
order construction supplies,100
perform services in a flexible manner,100
architectural conservation,100
furniture wood types,100
"""manage childrens problems""",100
maintain records of financial transactions,100
accounting department processes,100
prepare tax returns forms,100
